cumulative_proportion,p_value
0.354,0.353562
0.355,0.354885
0.356,0.355803
0.357,0.356918
0.358,0.358067
0.359,0.358927
0.36,0.360223
0.361,0.361012
0.362,0.361986
0.363,0.362847
0.364,0.363356
0.365,0.364549
0.366,0.365392
0.367,0.366307
0.368,0.367191
0.369,0.368277
0.37,0.36954
0.371,0.370746
0.372,0.371902
0.373,0.372449
0.374,0.373372
0.375,0.374175
0.376,0.37556
0.377,0.376724
0.378,0.377475
0.379,0.378617
0.38,0.380128
0.381,0.381276
0.382,0.382431
0.383,0.383447
0.384,0.384689
0.385,0.385663
0.386,0.386585
0.387,0.388019
0.388,0.388901
0.389,0.390436
0.39,0.391217
0.391,0.392095
0.392,0.393065
0.393,0.394371
0.394,0.395777
0.395,0.39682
0.396,0.397663
0.397,0.398778
0.398,0.400349
0.399,0.401476
0.4,0.402773
0.401,0.403938
0.402,0.405211
0.403,0.40596
0.404,0.406976
0.405,0.408421
0.406,0.409837
0.407,0.410496
0.408,0.411678
0.409,0.412892
0.41,0.414416
0.411,0.415422
0.412,0.416507
0.413,0.417914
0.414,0.418869
0.415,0.420303
0.416,0.421408
0.417,0.422394
0.418,0.423711
0.419,0.424982
0.42,0.426412
0.421,0.427469
0.422,0.428645
0.423,0.429216
0.424,0.430573
0.425,0.431871
0.426,0.432868
0.427,0.434102
0.428,0.435217
0.429,0.43633
0.43,0.437333
0.431,0.438454
0.432,0.439264
0.433,0.440338
0.434,0.441104
0.435,0.442075
0.436,0.443356
0.437,0.444374
0.438,0.44507
0.439,0.445964
0.44,0.447152
0.441,0.447978
0.442,0.44903
0.443,0.450204
0.444,0.451086
0.445,0.45225
0.446,0.45323
0.447,0.454535
0.448,0.455915
0.449,0.456707
0.45,0.457949
0.451,0.459167
0.452,0.460568
0.453,0.461325
0.454,0.462198
0.455,0.4633
0.456,0.464607
0.457,0.465673
0.458,0.466258
0.459,0.467649
0.46,0.468559
0.461,0.46942
0.462,0.470568
0.463,0.471775
0.464,0.472685
0.465,0.473949
0.466,0.47512
0.467,0.476552
0.468,0.477778
0.469,0.478893
0.47,0.479982
0.471,0.480893
0.472,0.481963
0.473,0.483007
0.474,0.483952
0.475,0.484848
0.476,0.486088
0.477,0.487105
0.478,0.488073
0.479,0.489111
0.48,0.489749
0.481,0.490882
0.482,0.491786
0.483,0.492733
0.484,0.493714
0.485,0.494887
0.486,0.495876
0.487,0.496758
0.488,0.497555
0.489,0.498479
0.49,0.499191
0.491,0.500186
0.492,0.501058
0.493,0.501935
0.494,0.502787
0.495,0.504137
0.496,0.504978
0.497,0.506249
0.498,0.507293
0.499,0.508102
0.5,0.509128
0.501,0.510165
0.502,0.511318
0.503,0.512335
0.504,0.513223
0.505,0.514346
0.506,0.51553
0.507,0.516416
0.508,0.517516
0.509,0.518756
0.51,0.519671
0.511,0.520798
0.512,0.521492
0.513,0.522844
0.514,0.523692
0.515,0.524658
0.516,0.525509
0.517,0.526806
0.518,0.527596
0.519,0.528602
0.52,0.529342
0.521,0.530447
0.522,0.531063
0.523,0.532222
0.524,0.532863
0.525,0.533813
0.526,0.534802
0.527,0.53574
0.528,0.537219
0.529,0.53851
0.53,0.539656
0.531,0.540476
0.532,0.541402
0.533,0.542876
0.534,0.543604
0.535,0.544249
0.536,0.545696
0.537,0.546716
0.538,0.547979
0.539,0.549001
0.54,0.550144
0.541,0.551099
0.542,0.552517
0.543,0.553299
0.544,0.554112
0.545,0.554997
0.546,0.55586
0.547,0.556733
0.548,0.558071
0.549,0.558888
0.55,0.560052
0.551,0.561159
0.552,0.562302
0.553,0.563355
0.554,0.564665
0.555,0.566019
0.556,0.567028
0.557,0.568356
0.558,0.569951
0.559,0.570486
0.56,0.5719
0.561,0.572883
0.562,0.573922
0.563,0.575019
0.564,0.576056
0.565,0.577234
0.566,0.578473
0.567,0.579387
0.568,0.580645
0.569,0.581988
0.57,0.582756
0.571,0.583531
0.572,0.584898
0.573,0.585892
0.574,0.587073
0.575,0.588338
0.576,0.589195
0.577,0.590152
0.578,0.591254
0.579,0.592459
0.58,0.59349
0.581,0.594485
0.582,0.59546
0.583,0.596678
0.584,0.59787
0.585,0.599179
0.586,0.600445
0.587,0.601395
0.588,0.602598
0.589,0.603958
0.59,0.604952
0.591,0.60621
0.592,0.607387
0.593,0.60815
0.594,0.6093
0.595,0.610422
0.596,0.611225
0.597,0.612241
0.598,0.6133
0.599,0.614276
0.6,0.615617
0.601,0.616159
0.602,0.617166
0.603,0.618427
0.604,0.61985
0.605,0.621027
0.606,0.622422
0.607,0.623348
0.608,0.624219
0.609,0.625379
0.61,0.626989
0.611,0.627983
0.612,0.629146
0.613,0.629947
0.614,0.630727
0.615,0.631594
0.616,0.632649
0.617,0.633681
0.618,0.634851
0.619,0.635887
0.62,0.636814
0.621,0.638016
0.622,0.63893
0.623,0.63985
0.624,0.640962
0.625,0.642471
0.626,0.644138
0.627,0.64499
0.628,0.646036
0.629,0.647159
0.63,0.648399
0.631,0.649525
0.632,0.650716
0.633,0.651869
0.634,0.65319
0.635,0.654077
0.636,0.655191
0.637,0.655917
0.638,0.657141
0.639,0.658188
0.64,0.659388
0.641,0.660519
0.642,0.661626
0.643,0.662687
0.644,0.664092
0.645,0.664945
0.646,0.666221
0.647,0.666913
0.648,0.668085
0.649,0.669005
0.65,0.670186
0.651,0.671636
0.652,0.672828
0.653,0.67408
0.654,0.675576
0.655,0.676342
0.656,0.67763
0.657,0.678535
0.658,0.679542
0.659,0.680572
0.66,0.681602
0.661,0.682816
0.662,0.684018
0.663,0.685137
0.664,0.686329
0.665,0.687207
0.666,0.688427
0.667,0.689579
0.668,0.690623
0.669,0.691799
0.67,0.693289
0.671,0.694123
0.672,0.695205
0.673,0.696289
0.674,0.697078
0.675,0.698185
0.676,0.699406
0.677,0.700793
0.678,0.701942
0.679,0.70344
0.68,0.704854
0.681,0.705812
0.682,0.707245
0.683,0.708588
0.684,0.70981
0.685,0.711309
0.686,0.712528
0.687,0.71374
0.688,0.714774
0.689,0.715874
0.69,0.716886
0.691,0.718134
0.692,0.719897
0.693,0.720898
0.694,0.72217
0.695,0.723168
0.696,0.724148
0.697,0.725425
0.698,0.726374
0.699,0.727538
0.7,0.728464
0.701,0.729779
0.702,0.730992
0.703,0.732334
0.704,0.733635
0.705,0.734651
0.706,0.735206
0.707,0.736046
0.708,0.737214
0.709,0.738083
0.71,0.739025
0.711,0.739802
0.712,0.741324
0.713,0.742115
0.714,0.743259
0.715,0.744433
0.716,0.745444
0.717,0.746505
0.718,0.74778
0.719,0.7488
0.72,0.75011
0.721,0.751305
0.722,0.752627
0.723,0.753602
0.724,0.754559
0.725,0.755435
0.726,0.75681
0.727,0.758178
0.728,0.759325
0.729,0.760095
0.73,0.761431
0.731,0.762591
0.732,0.763738
0.733,0.764628
0.734,0.765848
0.735,0.767208
0.736,0.768262
0.737,0.769536
0.738,0.770561
0.739,0.772097
0.74,0.773211
0.741,0.774563
0.742,0.775432
0.743,0.776231
0.744,0.778005
0.745,0.779228
0.746,0.780158
0.747,0.781451
0.748,0.782377
0.749,0.783574
0.75,0.784552
0.751,0.785594
0.752,0.786809
0.753,0.787917
0.754,0.788792
0.755,0.789769
0.756,0.790657
0.757,0.792495
0.758,0.793482
0.759,0.794741
0.76,0.796324
0.761,0.797418
0.762,0.798508
0.763,0.799759
0.764,0.801078
0.765,0.801785
0.766,0.802594
0.767,0.803516
0.768,0.804551
0.769,0.805893
0.77,0.807285
0.771,0.808139
0.772,0.809669
0.773,0.811001
0.774,0.812187
0.775,0.813522
0.776,0.814583
0.777,0.815923
0.778,0.817725
0.779,0.818776
0.78,0.819954
0.781,0.820733
0.782,0.822115
